"idsbr";"nama";"alamat";"kdprov";"kdkab";"kdkec";"kddesa";"nmprov";"nmkab";"nmkec";"nmdesa";"status"
"60145808";SOTO SUKOHARJO DAN KOPI KLOTHOK;JALAN BEKASI TIMUR IV;"31";"72";"060";"005";DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR UTARA;Aktif
"60145898";NOW CUT BARBERSHOP;JALAN BEKASI TIMUR IV;"31";"72";"060";"005";DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR UTARA;Aktif
"60146058";KEBAB BINTANG;JALAN BEKASI TIMUR IV;"31";"72";"060";"005";DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR UTARA;Aktif
"60146142";AYAM PENYET SAMBEL IJO;JALAN BEKASI TIMUR IV;"31";"72";"060";"005";DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR UTARA;Aktif
"60146219";WARUNG SEMBAKO SALSABILA;JALAN BEKASI TIMUR IV;"31";"72";"060";"005";DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR UTARA;Aktif
"60146248";D&D PARFUME;JALAN BEKASI TIMUR IV;"31";"72";"060";"005";DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR UTARA;Aktif
"60146296";RAIHAN RAYA FOTO COPY PENJILIDAN ATK;JALAN BEKASI TIMUR IV;"31";"72";"060";"005";DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR UTARA;Aktif
"60146382";RM HANI AJO;JALAN BEKASI TIMUR IV;"31";"72";"060";"005";DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR UTARA;Aktif
"60147695";RAJA SUSU CASABLANCA;JL. JENDERAL BASUKI RACHMAT NO.23 2, RT.1/RW.9,;"31";"72";"060";"006";DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;RAWA BUNGA;Aktif
"60148037";TB SINAR MATAHARI;JL. OTTO ISKANDAR DINATA 3 NO.16A, RT.2/RW.4;"31";"72";"060";"002";DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG CEMPEDAK;Aktif
"60148511";TOKO KELONTONG ANANDA;JL. OTISTA 3 NO.99, RT.3/RW.1,;"31";"72";"060";"002";DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG CEMPEDAK;Aktif
"60148685";TOKO ROKOK ELEKTRONIK JKP VAPE STORE;JL. OTISTA 3 BLOCK C4, RT.3/RW.4,;"31";"72";"060";"002";DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG CEMPEDAK;Aktif
"60149861";WIKAZ;JL Y NO 25 CIPINANG MUARA;"31";"72";"060";"004";DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG MUARA;Aktif
