npsn_isian;nama_isian;Jenjang;alamat_jalan;nama_dusun;desa_kelurahan;kecamatan;kabupaten;provinsi;lintang;bujur;latitude;longitude;nama_google;url;isna
69775026;AL0RIFDA;PAUD Sederajat;PERUMNAS BRANDAN PERMAI, TANGKAHAN DURIAN;-;Tangkahan Durian;Kec. Berandan Barat;Kab. Langkat;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;2
69790018;IKRA;PAUD Sederajat;BATANG DURIAN NO 1;-;PEKAN TANJUNG PURA;Kec. Tanjung Pura;Kab. Langkat;Prov. Sumatera Utara;-5.443.757.000.000;114.421.127.000.000;;;;;2
69920042;KB AISYIYAH RAUDHATUL ATHFAL;PAUD Sederajat;Jl. Teungku Umar;Teuku Umar;Lancang Garam;Kec. Banda Sakti;Kota Lhokseumawe;Prov. Aceh;5.183.700.000.000;97.148.800.000.000;-6.2240113;107.0234646;Taman Kanak-Kanak Raudatul Athfal;https://www.google.com/maps/place/Taman+Kanak-Kanak+Raudatul+Athfal/@-6.2240113,107.0234646,17z/data=!3m1!4b1!4m6!3m5!1s0x2e698eb972a66a29:0x99f9cb1f42d22eb0!8m2!3d-6.2240113!4d107.0260395!16s%2Fg%2F121xk3mb?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D;0
69812435;KB AL HAKIM;PAUD Sederajat;BUKET DINDENG;-;Buket Dindeng;Kec. Julok;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;-0.6050907;100.1958929;Kb Al-Hakim;https://www.google.com/maps/place/Kb+Al-Hakim/@-0.6050907,100.1958929,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4e1c3ceaa848d:0x8b61d6797db03e47!8m2!3d-0.6050907!4d100.1958929!16s%2Fg%2F11j2dpg391?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D;0
69932645;KB AL-BARRU;PAUD Sederajat;Gampong Lhok Merbo Kecamatan Sawang Kabupaten Aceh Utara;Lhok Merbo;Lhok Meureubo;Kec. Sawang;Kab. Aceh Utara;Prov. Aceh;0.000000000000;0.000000000000;;;;;2
69992786;KB AL-HIJRAH;PAUD Sederajat;Gampong Lhok Reudeup Kecamatan Tanah Jambo Aye Kabupaten Aceh Utara;-;Lhok Reudeup;Kec. Tanah Jambo Aye;Kab. Aceh Utara;Prov. Aceh;5.081.100.000.000;97.459.900.000.000;-6.8722472;107.5228572;RA dan MI Nur Al - Hijrah;https://www.google.com/maps/place/RA+dan+MI+Nur+Al+-+Hijrah/@-6.8722472,107.5228572,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e4f573220459:0x2671e66262358aa5!8m2!3d-6.8722525!4d107.5254321!16s%2Fg%2F11b6dp6095?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D;0
69916949;KB AL-MUSDAR MEURAKSA;PAUD Sederajat;Jl. Punteuet - Meuraksa;selamat;Jambo Timu;Kec. Blang Mangat;Kota Lhokseumawe;Prov. Aceh;5.140.200.000.000;97.167.200.000.000;5.1395508;97.1669859;KB AL-MUSDAR MEURAKSA;https://www.google.com/maps/place/KB+AL-MUSDAR+MEURAKSA/@5.1395508,97.1669859,17z/data=!3m1!4b1!4m6!3m5!1s0x3047831ef12e47db:0x6e142d8bd4f6ee6f!8m2!3d5.1395508!4d97.1669859!16s%2Fg%2F11y1wq7k03?entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D;0
69967119;KB AR-RIDHA;PAUD Sederajat;Gampong Cot Ara Kecamatan Baktiya Kabupaten Aceh Utara;Cot Ara;Cot Ara;Kec. Baktiya;Kab. Aceh Utara;Prov. Aceh;0.000000000000;0.000000000000;;;;;2
69781743;AL0IKHLAS;PAUD Sederajat;DUSUN II, PAYA BENGKUANG;Dusun II;Paya Bengkuang;Kec. Gebang;Kab. Langkat;Prov. Sumatera Utara;3.911.000.000.000;98.391.600.000.000;3.9757848;98.2723021;Mesjid Al-ikhlas;https://www.google.com/maps/place/Mesjid+Al-ikhlas/@3.9757848,98.2723021,17z/data=!3m1!4b1!4m6!3m5!1s0x30373cf093eea905:0xb0c4283f98db1984!8m2!3d3.9757848!4d98.2723021!16s%2Fg%2F11c329pjf9?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D;0
69776246;CERIA;PAUD Sederajat;JL. MUSYAWARAH, DUSUN III, TANJUNG MULIA;DUSUN III TANJUNG MULIA;TANJUNG MULIA;Kec. Hinai;Kab. Langkat;Prov. Sumatera Utara;-5.443.757.000.000;114.421.127.000.000;3.5266917;98.348156;PAUD Rumah Ceria;https://www.google.com/maps/place/PAUD+Rumah+Ceria/@3.5266917,98.348156,17z/data=!3m1!4b1!4m6!3m5!1s0x3030db79d7d339ab:0xab1acf57e09f92!8m2!3d3.5266917!4d98.348156!16s%2Fg%2F11gh_npy3f?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOC4wIKXMDSoASAFQAw%3D%3D;0
