No;Nama;latitude;longitude;nama_google;isna
1;Kantor Wilayah Badan Pertanahan Nasional Provinsi Aceh;5.5754832;95.355679;Kantor Wilayah BPN Provinsi Aceh;0
2;Kantor Pertanahan Kota Banda Aceh, Provinsi Aceh;5.5369428;95.3382454;Kantor Pertanahan (BPN) Kota Banda Aceh;0
3;Kantor Pertanahan Kota Sabang, Provinsi Aceh;5.8900096;95.3124133;Kantor Pertanahan Kota Sabang;0
4;Kantor Pertanahan Kabupaten Aceh Besar, Provinsi Aceh;5.2977184;95.6000186;Dinas Pertanahan Kabupaten Aceh Besar;0
5;Kantor Pertanahan Kabupaten Aceh Barat, Provinsi Aceh;4.1528483;96.1289944;Dinas Pertanahan Kabupaten Aceh Barat;0
6;Kantor Pertanahan Kabupaten Aceh Selatan, Provinsi Aceh;3.2524298;97.179057;Kantor Pertanahan Kabupaten Aceh Selatan;0
7;Kantor Pertanahan Kabupaten Pidie, Provinsi Aceh;5.3674025;95.9570618;Kantor Pertanahan Kabupaten Pidie;0
8;Kantor Pertanahan Kabupaten Aceh Utara, Provinsi Aceh;5.1799703;97.1408249;Kantor Pertanahan Kab. Aceh Utara;0
9;Kantor Pertanahan Kabupaten Aceh Timur, Provinsi Aceh;4.9270656;97.7887776;Kantor Pertanahan Kabupaten Aceh Timur;0
10;Kantor Pertanahan Kabupaten Aceh Tengah, Provinsi Aceh;4.6365186;96.8492899;Kantor Pertanahan Kab Aceh Tengah;0
11;Kantor Pertanahan Kabupaten Aceh Tenggara, Provinsi Aceh;3.4900071;97.8109334;Kantor Pertanahan Kabupaten Aceh Tenggara;0
12;Kantor Pertanahan Kabupaten Bireuen, Provinsi Aceh;5.2063681;96.7277748;Kantor Pertanahan Kab. Bireuen;0
13;Kantor Pertanahan Kabupaten Aceh Singkil, Provinsi Aceh;2.2716527;97.8154127;Kantor Pertanahan Kabupaten Aceh Singkil;0
14;Kantor Pertanahan Kabupaten Simeuleu, Provinsi Aceh;2.4344182;96.3710784;Kantor Pertanahan Kabupaten Simeulue;0
15;Kantor Pertanahan Kabupaten Nagan Raya, Provinsi Aceh;4.1616933;96.3245798;BPN Suka Makmue;0
